Case,Selection_group,Scenario,SampleIndex,MMSI,Path_5min_m,Avg_speed_5min_mps,Avg_speed_5min_kn,True_turn_rad,True_turn_deg,Abs_turn_deg,Anchor_lat,Anchor_lon,OOD_score,Rarity_score,Neighbor_mean,Neighbor_max,RF_ADE_m,RF_FDE_m,RF_PredTurn_deg,RNN_ADE_m,RNN_FDE_m,RNN_PredTurn_deg,LSTM_ADE_m,LSTM_FDE_m,LSTM_PredTurn_deg,HINN_ADE_m,HINN_FDE_m,HINN_PredTurn_deg,Best_baseline_ADE_m,Best_baseline_FDE_m,HINN_ADE_gain_m,HINN_FDE_gain_m,HINN_ADE_gain_pct,HINN_FDE_gain_pct,HINN_ADE_rank,HINN_FDE_rank,Recommended_main_figure,Recommendation_reason
11,HINN-leading,Channel/approach,225,229786000,1863.7913818359375,6.212637939453125,12.076412475319229,1.212134599685669,69.4501953125,69.4501953125,10.543630550680122,106.84922724150096,0.5747882723808289,0.5868180394172668,5.403022766113281,8.745269775390625,364.2735595703125,1118.49267578125,-1.0130860805511475,374.5302734375,1149.06103515625,-11.170296669006348,367.5694274902344,1124.7847900390625,42.912540435791016,173.5481414794922,468.2403869628906,77.75605773925781,364.2735595703125,1118.49267578125,190.7254180908203,650.2523193359375,52.35774230957031,58.13648223876953,1,1,False,HINN leads but absolute error/margin less suitable for main figure
12,HINN-leading,Channel/approach,274,352001126,1633.57666015625,5.445255533854167,10.58473912389719,0.553913950920105,31.736928939819336,31.736928939819336,10.47192102586474,106.94104690219793,0.032738231122493744,0.0,5.112733364105225,6.3017120361328125,184.14572143554688,451.9436950683594,17.49855613708496,99.25753784179688,269.4469909667969,-5.306598663330078,100.32099914550781,235.25653076171875,66.41026306152344,51.17518615722656,136.93814086914062,-0.6400228142738342,99.25753784179688,235.25653076171875,48.08235168457031,98.31838989257812,48.4420166015625,41.7919921875,1,1,True,HINN wins ADE/FDE clearly with moderate absolute error
13,Near-tie/challenging,Straight,999,574003030,1493.743408203125,4.979144694010417,9.678691352237399,0.04211556166410446,2.413043737411499,2.413043737411499,10.412007893332635,106.8003324400895,0.11587191373109818,0.0,7.509919166564941,8.27442455291748,17.702299118041992,38.24601364135742,3.958599328994751,14.908242225646973,29.783462524414062,-2.0488810539245605,22.860361099243164,59.24140167236328,8.450309753417969,15.004467010498047,31.480958938598633,0.03570481017231941,14.908242225646973,29.783462524414062,-0.09622478485107422,-1.6974964141845703,-0.6454468965530396,-5.699459552764893,2,2,False,Near-tie/challenging case; useful for robustness/supplementary
14,Near-tie/challenging,Moderate curve,1405,636018224,1436.8980712890625,4.789660237630208,9.310362717089145,0.17291435599327087,9.907261848449707,9.907261848449707,10.26359999980765,107.098316099611,0.0,0.0,3.78775954246521,4.490026950836182,109.85047912597656,289.5416564941406,-4.575467586517334,88.99653625488281,275.8005065917969,15.141348838806152,71.19519805908203,203.35205078125,15.574661254882812,72.25578308105469,209.90057373046875,-6.316835403442383,71.19519805908203,203.35205078125,-1.0605850219726562,-6.54852294921875,-1.489686131477356,-3.2202885150909424,2,2,False,Near-tie/challenging case; useful for robustness/supplementary
15,Near-tie/challenging,Moderate curve,379,352001126,1558.3167724609375,5.1943892415364585,10.097093641944426,-0.15520158410072327,-8.89239501953125,8.89239501953125,10.411686670189937,107.017071700422,0.0,0.0,4.241805076599121,4.948733329772949,28.791643142700195,45.24495315551758,-6.345598220825195,32.47622299194336,123.63674926757812,8.081465721130371,18.147945404052734,49.4239387512207,16.95572853088379,18.411014556884766,34.284698486328125,-15.891359329223633,18.147945404052734,45.24495315551758,-0.26306915283203125,10.960254669189453,-1.4495809078216553,24.224260330200195,2,1,False,Near-tie/challenging case; useful for robustness/supplementary
16,Near-tie/challenging,Strong curve,120,229786000,2000.2049560546875,6.667349853515625,12.960302488736627,0.7820916175842285,44.810546875,44.810546875,10.504969171528428,106.94972357988928,0.0,0.0,5.614713191986084,8.110767364501953,131.98785400390625,344.9475402832031,18.807579040527344,122.9209213256836,342.74212646484375,6.198912143707275,135.28359985351562,340.76953125,2.680391788482666,121.9955825805664,360.4458312988281,12.807450294494629,122.9209213256836,340.76953125,0.9253387451171875,-19.676300048828125,0.7527918815612793,-5.774078369140625,1,4,False,Near-tie/challenging case; useful for robustness/supplementary
17,Near-tie/challenging,Strong curve,1217,574572000,1007.0943603515625,3.356981201171875,6.52545505666676,-0.7218722701072693,-41.360233306884766,41.360233306884766,10.49540863635032,106.9980525840011,0.0,0.2686615586280823,3.190711736679077,3.78952693939209,82.54215240478516,268.96923828125,8.494366645812988,34.51697540283203,115.92536163330078,-67.8834228515625,41.13138961791992,124.6694107055664,11.862029075622559,36.22203826904297,98.31724548339844,-5.697841167449951,34.51697540283203,115.92536163330078,-1.7050628662109375,17.608116149902344,-4.9397807121276855,15.189184188842773,2,1,False,Near-tie/challenging case; useful for robustness/supplementary
18,Near-tie/challenging,Long-range,116,229786000,1914.958251953125,6.383194173177083,12.407947557318353,0.48572543263435364,27.830015182495117,27.830015182495117,10.500767223061336,106.95003170063472,0.031099222600460052,0.0,5.681181907653809,8.042830467224121,143.3922882080078,354.88397216796875,24.907562255859375,80.85897064208984,182.63031005859375,5.438779354095459,140.42282104492188,276.248046875,29.4658203125,79.44817352294922,193.3822784423828,38.87725830078125,80.85897064208984,182.63031005859375,1.410797119140625,-10.751968383789062,1.744762659072876,-5.8872857093811035,1,2,False,Near-tie/challenging case; useful for robustness/supplementary
19,Near-tie/challenging,Offshore,1202,574480000,1323.1356201171875,4.4104520670572915,8.573240366409738,-0.07142342627048492,-4.092260837554932,4.092260837554932,10.27655167125264,107.1547949992298,0.6643414497375488,0.0,3.6936028003692627,5.782495498657227,48.25825119018555,92.20343017578125,-3.029170036315918,18.28253936767578,35.66266632080078,-1.3357478380203247,13.005086898803711,29.43630027770996,-19.75542449951172,13.909786224365234,28.863849639892578,-3.6858348846435547,13.005086898803711,29.43630027770996,-0.9046993255615234,0.5724506378173828,-6.956503391265869,1.9447098970413208,2,1,False,Near-tie/challenging case; useful for robustness/supplementary
20,Near-tie/challenging,Channel/approach,174,229786000,2069.173583984375,6.897245279947916,13.407183833318916,0.15287889540195465,8.75931453704834,8.75931453704834,10.51687583829329,106.903185802176,0.2973775565624237,0.5868180394172668,5.5342888832092285,9.097057342529297,114.97560119628906,287.634033203125,14.383515357971191,93.76615905761719,244.71304321289062,34.5345344543457,106.00801849365234,311.0400085449219,60.864776611328125,89.75696563720703,253.05508422851562,8.3962984085083,93.76615905761719,244.71304321289062,4.009193420410156,-8.342041015625,4.275735855102539,-3.408907413482666,1,2,False,Near-tie/challenging case; useful for robustness/supplementary
